invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
INV75,CUST75,Male,37,Home & Garden,2,388.5255298,Cash,11-05-2024,Metrocity
INV76,CUST76,Female,31,Sports,5,420.6530595,Cash,26-08-2023,Istinye Park
INV77,CUST77,Male,43,Sports,8,184.6139312,Credit Card,30-10-2023,Cevahir AVM
INV78,CUST78,Male,46,Clothing,7,206.7885626,Debit Card,21-04-2023,Emaar Square Mall
INV79,CUST79,Female,41,Sports,1,94.53319506,Credit Card,14-03-2024,Cevahir AVM
INV80,CUST80,Male,60,Sports,2,236.5810997,Cash,19-01-2024,Viaport Outlet
INV81,CUST81,Female,63,Electronics,6,193.2747876,Debit Card,08-01-2023,Forum Istanbul
INV82,CUST82,Male,60,Toys,4,302.7754979,Cash,08-10-2023,Emaar Square Mall
INV83,CUST83,Female,56,Clothing,8,215.2772152,Credit Card,23-07-2023,Metropol AVM
INV84,CUST84,Male,53,Home & Garden,3,144.4113007,Credit Card,07-08-2023,Kanyon
INV85,CUST85,Female,33,Home & Garden,1,202.7163108,Cash,02-07-2024,Cevahir AVM
INV86,CUST86,Female,55,Toys,7,376.6109577,Debit Card,12-05-2024,Metropol AVM
INV87,CUST87,Female,18,Home & Garden,9,481.1982999,Debit Card,04-08-2024,Viaport Outlet
INV88,CUST88,Female,24,Toys,8,145.7565031,Cash,30-12-2023,Viaport Outlet
INV89,CUST89,Male,29,Sports,1,453.8638981,Credit Card,15-10-2023,Metrocity
INV90,CUST90,Female,18,Sports,7,246.5496354,Credit Card,22-02-2024,Istinye Park
INV91,CUST91,Male,52,Sports,9,94.03501275,Cash,22-01-2023,Zorlu Center
INV92,CUST92,Male,26,Toys,1,243.45336,Credit Card,09-09-2024,Zorlu Center
INV93,CUST93,Female,48,Electronics,8,496.4070328,Debit Card,16-04-2023,Emaar Square Mall
INV94,CUST94,Male,35,Electronics,7,326.2666406,Debit Card,04-12-2023,Zorlu Center
INV95,CUST95,Female,20,Sports,8,375.9743528,Debit Card,23-08-2024,Metrocity
INV96,CUST96,Female,23,Home & Garden,5,235.2746247,Cash,27-05-2023,Cevahir AVM
INV97,CUST97,Female,32,Home & Garden,6,462.6019889,Debit Card,19-06-2024,Mall of Istanbul
INV98,CUST98,Female,28,Home & Garden,3,374.7220664,Debit Card,13-06-2023,Metrocity
INV99,CUST99,Male,60,Home & Garden,3,283.6241278,Debit Card,06-07-2024,Mall of Istanbul
INV100,CUST100,Male,25,Electronics,9,490.3058542,Debit Card,21-06-2024,Viaport Outlet
INV101,CUST101,Female,23,Electronics,1,173.3620122,Credit Card,07-01-2024,Metropol AVM
INV102,CUST102,Female,28,Clothing,5,340.3093165,Credit Card,20-03-2024,Mall of Istanbul
INV103,CUST103,Female,19,Clothing,5,153.361297,Debit Card,19-03-2024,Metrocity
INV104,CUST104,Female,60,Home & Garden,1,324.5517955,Cash,25-06-2024,Viaport Outlet
INV105,CUST105,Male,48,Clothing,9,494.3632058,Debit Card,16-01-2023,Forum Istanbul
INV106,CUST106,Male,41,Sports,9,180.6579577,Credit Card,13-05-2023,Mall of Istanbul
INV107,CUST107,Male,28,Electronics,1,270.4467404,Credit Card,17-08-2024,Viaport Outlet
INV108,CUST108,Male,36,Electronics,8,156.1589755,Cash,15-05-2023,Viaport Outlet
INV109,CUST109,Male,64,Clothing,3,280.0119561,Cash,02-08-2024,Zorlu Center
INV110,CUST110,Male,60,Toys,1,12.63088135,Credit Card,24-08-2023,Metrocity
INV111,CUST111,Male,55,Toys,1,207.2934878,Debit Card,05-01-2024,Emaar Square Mall
INV112,CUST112,Female,33,Sports,3,307.0661456,Credit Card,22-08-2024,Kanyon
INV113,CUST113,Male,23,Electronics,6,11.05923728,Credit Card,21-04-2023,Istinye Park
INV114,CUST114,Female,50,Toys,1,380.9075563,Debit Card,24-02-2023,Kanyon
INV115,CUST115,Male,52,Toys,5,113.736242,Credit Card,25-02-2023,Viaport Outlet
INV116,CUST116,Male,49,Sports,5,488.3118497,Credit Card,08-06-2024,Metrocity
INV117,CUST117,Female,21,Home & Garden,4,351.8754253,Cash,09-03-2023,Zorlu Center
INV118,CUST118,Male,37,Clothing,4,309.6584576,Cash,26-09-2023,Viaport Outlet
INV119,CUST119,Male,56,Electronics,5,234.5611018,Credit Card,09-05-2023,Emaar Square Mall
INV120,CUST120,Male,64,Home & Garden,9,89.88605251,Credit Card,06-07-2023,Istinye Park
INV121,CUST121,Female,34,Home & Garden,8,89.04356306,Credit Card,24-08-2024,Forum Istanbul
INV122,CUST122,Male,38,Clothing,1,152.6347342,Cash,23-08-2023,Kanyon
INV123,CUST123,Female,22,Sports,3,268.6025008,Credit Card,04-11-2023,Forum Istanbul
INV124,CUST124,Male,49,Electronics,5,177.1316408,Credit Card,29-10-2023,Kanyon
INV125,CUST125,Male,63,Clothing,8,165.7363081,Credit Card,18-05-2023,Mall of Istanbul
INV126,CUST126,Female,40,Toys,5,251.0412629,Credit Card,06-06-2024,Forum Istanbul
INV127,CUST127,Female,51,Electronics,4,280.2379432,Debit Card,27-05-2023,Kanyon
INV128,CUST128,Male,25,Clothing,1,198.2481275,Cash,27-06-2024,Emaar Square Mall
INV129,CUST129,Male,46,Clothing,8,476.0821113,Credit Card,31-03-2023,Kanyon
INV130,CUST130,Male,46,Sports,6,428.5171779,Debit Card,20-04-2024,Istinye Park
INV131,CUST131,Male,51,Toys,6,104.2944291,Debit Card,22-06-2024,Cevahir AVM
INV132,CUST132,Female,49,Sports,4,221.4028826,Cash,11-09-2023,Zorlu Center
INV133,CUST133,Female,58,Sports,8,60.8875611,Cash,16-05-2023,Zorlu Center
INV134,CUST134,Male,27,Clothing,5,446.249416,Cash,15-08-2024,Metropol AVM
INV135,CUST135,Female,54,Sports,1,203.3644686,Cash,29-03-2024,Mall of Istanbul
INV136,CUST136,Male,39,Clothing,1,436.9114876,Credit Card,01-03-2023,Forum Istanbul
INV137,CUST137,Male,21,Home & Garden,2,43.9705466,Debit Card,05-07-2024,Metropol AVM
INV138,CUST138,Male,57,Sports,6,211.6944277,Cash,13-02-2023,Istinye Park
INV139,CUST139,Male,19,Toys,1,228.6539635,Debit Card,09-08-2023,Metropol AVM
INV140,CUST140,Male,53,Clothing,7,369.6342622,Credit Card,19-02-2023,Emaar Square Mall
INV141,CUST141,Male,28,Toys,5,401.9053385,Credit Card,17-08-2024,Mall of Istanbul
INV142,CUST142,Male,56,Home & Garden,5,111.8603388,Cash,28-11-2023,Cevahir AVM
INV143,CUST143,Male,25,Sports,3,250.2891208,Debit Card,13-09-2024,Mall of Istanbul
INV144,CUST144,Male,41,Toys,1,17.05483885,Debit Card,31-12-2023,Mall of Istanbul
INV145,CUST145,Female,61,Toys,3,405.4095918,Credit Card,29-05-2024,Cevahir AVM
INV146,CUST146,Male,25,Sports,9,430.8469874,Debit Card,28-05-2023,Metropol AVM
INV147,CUST147,Male,27,Home & Garden,9,338.7075756,Cash,21-05-2023,Metrocity
INV148,CUST148,Male,33,Sports,9,171.6532839,Cash,28-08-2024,Cevahir AVM
INV149,CUST149,Male,24,Sports,7,294.9725942,Credit Card,23-05-2023,Metropol AVM
INV150,CUST150,Female,51,Electronics,2,447.3694857,Credit Card,25-05-2023,Metrocity
INV151,CUST151,Male,37,Clothing,8,305.1463259,Debit Card,01-09-2024,Cevahir AVM
INV152,CUST152,Male,24,Home & Garden,1,336.0325015,Debit Card,23-03-2024,Zorlu Center
INV153,CUST153,Female,40,Electronics,4,281.938916,Debit Card,18-02-2024,Mall of Istanbul
INV154,CUST154,Female,37,Sports,1,14.13832703,Cash,02-04-2024,Viaport Outlet
INV155,CUST155,Male,47,Toys,5,197.0709387,Credit Card,17-07-2024,Mall of Istanbul
INV156,CUST156,Male,33,Sports,4,498.292937,Cash,25-08-2023,Zorlu Center
INV157,CUST157,Male,30,Electronics,8,40.44049186,Debit Card,31-08-2023,Emaar Square Mall
INV158,CUST158,Male,51,Sports,1,492.4348087,Credit Card,07-02-2024,Viaport Outlet
INV159,CUST159,Male,58,Sports,8,256.2333652,Debit Card,28-05-2024,Istinye Park
INV160,CUST160,Male,61,Clothing,6,289.693493,Cash,27-11-2023,Zorlu Center
INV161,CUST161,Female,60,Clothing,2,239.1424212,Cash,14-06-2024,Zorlu Center
INV162,CUST162,Female,57,Sports,6,129.9796089,Debit Card,18-07-2023,Forum Istanbul
INV163,CUST163,Female,33,Clothing,8,304.2194524,Cash,17-01-2024,Zorlu Center
INV164,CUST164,Female,59,Sports,1,483.4699811,Debit Card,25-11-2023,Mall of Istanbul
INV165,CUST165,Female,18,Clothing,6,424.8035331,Cash,18-08-2023,Kanyon
INV166,CUST166,Male,39,Sports,4,291.9053137,Debit Card,06-09-2024,Viaport Outlet
INV167,CUST167,Male,20,Electronics,5,69.76719676,Credit Card,01-08-2024,Metropol AVM
INV168,CUST168,Female,51,Clothing,2,118.229047,Cash,29-01-2023,Cevahir AVM
INV169,CUST169,Female,44,Clothing,9,43.33879635,Debit Card,09-08-2024,Mall of Istanbul
INV170,CUST170,Male,20,Sports,5,335.3592529,Debit Card,13-03-2023,Metropol AVM
INV171,CUST171,Male,39,Electronics,5,302.5374518,Cash,05-11-2023,Viaport Outlet
INV172,CUST172,Female,39,Clothing,2,476.3191643,Debit Card,28-03-2023,Istinye Park
INV173,CUST173,Male,36,Clothing,8,291.0974116,Credit Card,13-01-2023,Emaar Square Mall
INV174,CUST174,Male,48,Home & Garden,2,329.8272488,Debit Card,13-02-2023,Emaar Square Mall
INV175,CUST175,Male,45,Home & Garden,1,255.0088989,Cash,17-03-2023,Kanyon
INV176,CUST176,Female,59,Sports,7,434.5918928,Debit Card,25-10-2023,Istinye Park
INV177,CUST177,Male,19,Clothing,3,332.6348225,Debit Card,03-09-2024,Zorlu Center
INV178,CUST178,Female,39,Toys,8,463.9428166,Debit Card,17-05-2023,Metrocity
INV179,CUST179,Female,52,Toys,5,262.5903166,Debit Card,14-06-2024,Zorlu Center
INV180,CUST180,Female,44,Sports,2,39.41340928,Debit Card,11-03-2023,Cevahir AVM
INV181,CUST181,Male,28,Toys,8,39.56282826,Credit Card,05-02-2024,Cevahir AVM
INV182,CUST182,Female,49,Sports,9,378.6506668,Cash,07-05-2024,Mall of Istanbul
INV183,CUST183,Male,27,Clothing,1,420.8345087,Credit Card,09-12-2023,Cevahir AVM
INV184,CUST184,Male,42,Clothing,5,135.1487882,Cash,02-07-2023,Metropol AVM
INV185,CUST185,Male,42,Electronics,3,440.1178702,Debit Card,18-02-2024,Metropol AVM
INV186,CUST186,Male,29,Electronics,1,266.7530544,Credit Card,22-12-2023,Mall of Istanbul
INV187,CUST187,Male,62,Clothing,7,192.9756689,Debit Card,24-06-2023,Zorlu Center
INV188,CUST188,Female,47,Electronics,4,12.8760129,Debit Card,21-08-2023,Metropol AVM
INV189,CUST189,Male,36,Home & Garden,2,282.4975039,Cash,14-06-2024,Zorlu Center
INV190,CUST190,Male,48,Home & Garden,7,242.3402314,Credit Card,11-09-2023,Metrocity
INV191,CUST191,Male,39,Sports,8,402.1660836,Debit Card,05-05-2023,Emaar Square Mall
INV192,CUST192,Female,60,Clothing,3,437.9900594,Cash,28-11-2023,Forum Istanbul
INV193,CUST193,Male,45,Home & Garden,7,131.6901287,Debit Card,08-09-2024,Viaport Outlet
INV194,CUST194,Male,33,Home & Garden,4,309.4900743,Cash,25-11-2023,Kanyon
INV195,CUST195,Male,60,Sports,4,36.94638299,Cash,27-06-2024,Metropol AVM
INV196,CUST196,Female,43,Clothing,4,155.6259799,Credit Card,16-05-2024,Cevahir AVM
INV197,CUST197,Female,49,Electronics,2,259.9291346,Cash,09-06-2023,Viaport Outlet
INV198,CUST198,Male,40,Sports,1,332.5456643,Debit Card,01-07-2023,Viaport Outlet
INV199,CUST199,Female,34,Electronics,1,155.9504771,Debit Card,18-05-2024,Zorlu Center
INV200,CUST200,Female,30,Electronics,7,81.27761762,Credit Card,13-08-2024,Emaar Square Mall
INV201,CUST201,Female,28,Toys,3,348.1147347,Credit Card,25-07-2023,Zorlu Center
INV202,CUST202,Male,53,Home & Garden,3,498.1346548,Cash,14-03-2024,Mall of Istanbul
INV203,CUST203,Male,33,Home & Garden,2,251.8778721,Credit Card,06-08-2023,Viaport Outlet
INV204,CUST204,Female,42,Electronics,9,464.945759,Credit Card,01-07-2023,Metropol AVM
INV205,CUST205,Male,36,Sports,3,233.7903459,Cash,03-03-2023,Metrocity
INV206,CUST206,Female,45,Electronics,1,56.56462994,Debit Card,03-09-2023,Zorlu Center
INV207,CUST207,Male,55,Electronics,5,235.6553693,Debit Card,01-11-2023,Emaar Square Mall
INV208,CUST208,Male,32,Sports,5,406.0059789,Credit Card,04-08-2024,Metropol AVM
INV209,CUST209,Male,58,Clothing,2,14.1709534,Debit Card,15-01-2023,Viaport Outlet
INV210,CUST210,Male,27,Toys,8,293.3168258,Cash,27-10-2023,Mall of Istanbul
INV211,CUST211,Male,43,Toys,1,491.9349965,Credit Card,23-01-2024,Emaar Square Mall
INV212,CUST212,Male,26,Clothing,5,331.9068578,Cash,03-02-2024,Istinye Park
INV213,CUST213,Female,35,Home & Garden,7,189.6940181,Credit Card,27-04-2023,Kanyon
INV214,CUST214,Male,52,Home & Garden,5,421.820142,Credit Card,02-07-2023,Viaport Outlet
INV215,CUST215,Female,64,Sports,8,75.84242838,Debit Card,29-07-2023,Forum Istanbul
INV216,CUST216,Female,36,Sports,8,56.91590453,Cash,22-09-2023,Istinye Park
INV217,CUST217,Male,30,Sports,6,388.1100177,Debit Card,02-07-2024,Viaport Outlet
INV218,CUST218,Male,54,Toys,2,460.1248585,Debit Card,27-06-2024,Viaport Outlet
INV219,CUST219,Male,40,Home & Garden,1,197.3467049,Debit Card,05-06-2023,Metropol AVM
INV220,CUST220,Male,40,Clothing,1,134.4265158,Credit Card,02-03-2024,Forum Istanbul
INV221,CUST221,Male,52,Clothing,9,354.4561974,Cash,30-06-2024,Mall of Istanbul
INV222,CUST222,Female,39,Electronics,2,453.7853002,Debit Card,14-03-2024,Mall of Istanbul
INV223,CUST223,Female,24,Electronics,5,122.2064679,Debit Card,24-05-2024,Istinye Park
INV224,CUST224,Male,34,Sports,8,252.4251298,Debit Card,01-09-2023,Metrocity
INV225,CUST225,Female,37,Toys,7,232.5818715,Debit Card,28-04-2024,Cevahir AVM
INV226,CUST226,Male,21,Toys,3,415.355127,Debit Card,15-12-2023,Forum Istanbul
INV227,CUST227,Male,50,Toys,6,250.5023311,Cash,18-11-2023,Emaar Square Mall
INV228,CUST228,Male,53,Sports,7,81.51869781,Debit Card,14-02-2023,Cevahir AVM
INV229,CUST229,Male,50,Clothing,7,38.66745553,Credit Card,05-08-2024,Forum Istanbul
INV230,CUST230,Female,44,Electronics,2,40.29925385,Cash,20-01-2023,Viaport Outlet
INV231,CUST231,Male,27,Electronics,3,394.5413147,Debit Card,16-07-2024,Mall of Istanbul
INV232,CUST232,Male,47,Electronics,1,345.4171938,Debit Card,30-10-2023,Emaar Square Mall
INV233,CUST233,Male,33,Electronics,5,167.6539947,Cash,03-01-2023,Zorlu Center
INV234,CUST234,Male,26,Sports,4,269.6821056,Credit Card,09-03-2024,Zorlu Center
INV235,CUST235,Female,45,Toys,9,449.4319165,Debit Card,23-04-2024,Zorlu Center
INV236,CUST236,Male,34,Electronics,3,305.6949757,Debit Card,23-03-2023,Viaport Outlet
INV237,CUST237,Male,56,Electronics,5,327.8573077,Cash,18-02-2023,Cevahir AVM
INV238,CUST238,Female,32,Toys,5,95.39521394,Cash,13-03-2023,Kanyon
INV239,CUST239,Female,51,Toys,6,447.8877166,Cash,18-01-2023,Kanyon
INV240,CUST240,Female,48,Home & Garden,8,363.2974179,Cash,17-06-2023,Kanyon
INV241,CUST241,Male,19,Home & Garden,5,211.2593718,Debit Card,23-01-2024,Metrocity
INV242,CUST242,Female,52,Toys,4,174.2238636,Debit Card,27-02-2024,Mall of Istanbul
INV243,CUST243,Male,52,Electronics,1,358.5696287,Debit Card,08-07-2023,Mall of Istanbul
INV244,CUST244,Male,57,Clothing,2,62.56624964,Cash,13-04-2024,Metrocity
INV245,CUST245,Male,24,Toys,1,193.2450317,Credit Card,30-05-2024,Viaport Outlet
INV246,CUST246,Male,23,Sports,8,56.18045571,Debit Card,05-07-2024,Viaport Outlet
INV247,CUST247,Male,57,Electronics,6,220.2507901,Credit Card,05-03-2024,Forum Istanbul
INV248,CUST248,Male,30,Toys,2,364.2952946,Debit Card,19-06-2024,Metropol AVM
INV249,CUST249,Male,40,Home & Garden,8,499.4710299,Debit Card,24-07-2023,Forum Istanbul
INV250,CUST250,Male,41,Home & Garden,7,481.3232443,Debit Card,20-12-2023,Metropol AVM
INV251,CUST251,Male,53,Home & Garden,5,252.5968688,Cash,19-08-2024,Zorlu Center
INV252,CUST252,Female,22,Toys,3,407.1685221,Debit Card,05-08-2024,Viaport Outlet
INV253,CUST253,Male,48,Clothing,7,145.8136688,Cash,15-03-2023,Forum Istanbul
INV254,CUST254,Male,61,Sports,7,362.4754509,Debit Card,15-04-2023,Istinye Park
INV255,CUST255,Female,34,Electronics,1,280.9666391,Cash,21-03-2023,Metrocity
INV256,CUST256,Male,33,Sports,8,367.8334161,Cash,16-09-2023,Mall of Istanbul
INV257,CUST257,Male,45,Clothing,4,289.9110776,Credit Card,08-04-2024,Forum Istanbul
INV258,CUST258,Female,54,Sports,2,193.1798714,Cash,11-10-2023,Cevahir AVM
INV259,CUST259,Male,49,Sports,2,140.7553541,Debit Card,06-01-2023,Cevahir AVM
INV260,CUST260,Female,62,Clothing,5,413.5100809,Debit Card,03-05-2024,Viaport Outlet
INV261,CUST261,Male,63,Toys,4,37.31463502,Credit Card,13-09-2024,Viaport Outlet
INV262,CUST262,Male,19,Sports,4,397.3279706,Debit Card,09-05-2023,Emaar Square Mall
INV263,CUST263,Male,35,Electronics,9,447.0042877,Cash,09-01-2023,Mall of Istanbul
INV264,CUST264,Female,25,Sports,3,95.27040757,Credit Card,28-10-2023,Forum Istanbul
INV265,CUST265,Male,54,Electronics,6,265.0005242,Debit Card,18-03-2024,Cevahir AVM
INV266,CUST266,Male,27,Home & Garden,9,132.4340739,Debit Card,17-10-2023,Forum Istanbul
INV267,CUST267,Male,52,Toys,7,322.3201833,Debit Card,02-05-2024,Zorlu Center
INV268,CUST268,Male,34,Toys,7,156.3023544,Debit Card,21-12-2023,Viaport Outlet
INV269,CUST269,Male,31,Electronics,9,23.29074336,Cash,26-03-2024,Mall of Istanbul
INV270,CUST270,Male,33,Electronics,4,386.1479823,Cash,24-03-2023,Cevahir AVM
INV271,CUST271,Female,22,Clothing,3,128.2093194,Credit Card,21-01-2024,Forum Istanbul
INV272,CUST272,Male,22,Sports,6,247.2951075,Credit Card,04-02-2023,Emaar Square Mall
INV273,CUST273,Male,62,Clothing,7,133.242453,Cash,04-06-2023,Kanyon
INV274,CUST274,Male,53,Sports,7,323.4697932,Debit Card,08-01-2024,Forum Istanbul
INV275,CUST275,Male,31,Toys,9,92.14422795,Debit Card,21-04-2023,Viaport Outlet
INV276,CUST276,Female,56,Toys,8,151.4998868,Credit Card,07-09-2023,Cevahir AVM
INV277,CUST277,Male,43,Home & Garden,4,54.25234606,Debit Card,19-08-2023,Metrocity
INV278,CUST278,Male,47,Sports,6,410.2174661,Debit Card,30-05-2024,Forum Istanbul
INV279,CUST279,Female,34,Clothing,6,194.5434957,Cash,30-12-2023,Zorlu Center
INV280,CUST280,Male,19,Home & Garden,6,40.99992075,Debit Card,27-02-2024,Zorlu Center
INV281,CUST281,Male,56,Home & Garden,3,51.49618669,Credit Card,03-06-2023,Metrocity
INV282,CUST282,Female,51,Clothing,5,497.7927112,Debit Card,12-01-2023,Emaar Square Mall
INV283,CUST283,Male,39,Toys,5,410.3555032,Cash,14-01-2023,Metrocity
INV284,CUST284,Male,57,Sports,3,444.953036,Debit Card,11-09-2024,Mall of Istanbul
INV285,CUST285,Male,26,Electronics,3,42.97698475,Debit Card,25-01-2024,Viaport Outlet
INV286,CUST286,Female,59,Clothing,1,119.8862523,Cash,17-04-2023,Istinye Park
INV287,CUST287,Male,32,Electronics,7,271.7145624,Debit Card,24-11-2023,Metropol AVM
INV288,CUST288,Male,21,Electronics,7,42.41387001,Debit Card,04-03-2023,Metrocity
INV289,CUST289,Female,57,Clothing,1,333.0828309,Cash,22-03-2023,Metropol AVM
INV290,CUST290,Male,21,Electronics,4,397.523964,Cash,15-09-2023,Zorlu Center
INV291,CUST291,Male,44,Clothing,9,365.1945476,Cash,28-12-2023,Istinye Park
INV292,CUST292,Male,40,Home & Garden,6,304.5260753,Debit Card,07-02-2024,Kanyon
INV293,CUST293,Male,44,Electronics,8,279.8566628,Cash,15-01-2024,Forum Istanbul
