invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I420592,C837731,Male,57,Food & Beverage,4,20.92,Debit Card,25-09-2022,Kanyon
I122118,C146494,Male,38,Cosmetics,5,203.3,Cash,15-11-2022,Metrocity
I160687,C567509,Female,50,Clothing,2,600.16,Debit Card,07-12-2022,Istinye Park
I153842,C496138,Female,19,Food & Beverage,3,15.69,Credit Card,14-09-2022,Forum Istanbul
I615452,C327056,Male,26,Shoes,1,600.17,Debit Card,03-06-2022,Metrocity
I908600,C137153,Female,54,Cosmetics,4,162.64,Credit Card,23-02-2023,Forum Istanbul
I328691,C283822,Female,66,Clothing,2,600.16,Debit Card,31-07-2022,Metrocity
I182578,C318329,Male,54,Shoes,4,2400.68,Cash,13-02-2022,Kanyon
I403818,C163445,Male,62,Books,5,75.75,Cash,15-06-2022,Viaport Outlet
I508712,C494183,Female,64,Toys,3,107.52,Credit Card,19-07-2022,Mall of Istanbul
I959992,C251518,Male,55,Food & Beverage,3,15.69,Cash,07-01-2022,Metrocity
I300847,C287553,Male,41,Toys,5,179.2,Credit Card,01-11-2022,Istinye Park
I170966,C194388,Male,54,Food & Beverage,5,26.15,Credit Card,12-05-2022,Istinye Park
I155404,C191514,Male,48,Toys,4,143.36,Cash,19-09-2022,Metrocity
I144046,C336809,Female,42,Shoes,1,600.17,Credit Card,21-04-2022,Kanyon
I959386,C137760,Male,25,Shoes,1,600.17,Credit Card,25-11-2022,Mall of Istanbul
I737965,C161253,Male,64,Clothing,5,1500.4,Cash,11-09-2022,Kanyon
I194017,C227012,Female,67,Technology,5,5250,Cash,01-03-2022,Kanyon
I252777,C335133,Female,55,Clothing,2,600.16,Cash,19-02-2022,Zorlu Center
I254142,C180499,Female,62,Shoes,3,1800.51,Credit Card,15-12-2022,Emaar Square Mall
I220285,C126394,Female,43,Food & Beverage,4,20.92,Credit Card,05-01-2022,Kanyon
I125700,C216362,Male,49,Shoes,5,3000.85,Credit Card,06-10-2022,Forum Istanbul
I533062,C321505,Female,49,Clothing,3,900.24,Cash,05-12-2022,Mall of Istanbul
I998874,C119033,Female,19,Clothing,5,1500.4,Debit Card,27-12-2022,Mall of Istanbul
I337094,C143343,Female,50,Technology,1,1050,Cash,02-09-2023,Zorlu Center
I436935,C765432,Female,21,Cosmetics,4,162.64,Cash,26-02-2023,Istinye Park
I585560,C848969,Male,21,Shoes,2,1200.34,Cash,17-02-2023,Mall of Istanbul
I191967,C302831,Male,63,Cosmetics,5,203.3,Credit Card,08-08-2022,Kanyon
I304567,C319478,Male,30,Souvenir,2,23.46,Credit Card,03-08-2023,Forum Istanbul
I219334,C760149,Female,45,Shoes,4,2400.68,Credit Card,23-03-2022,Kanyon
I237375,C109090,Female,50,Books,1,15.15,Cash,29-12-2022,Istinye Park
I289611,C223343,Female,45,Clothing,3,900.24,Debit Card,03-08-2023,Cevahir AVM
I300799,C202349,Female,61,Food & Beverage,3,15.69,Cash,03-06-2022,Metropol AVM
I252528,C107829,Male,47,Technology,5,5250,Debit Card,10-04-2022,Cevahir AVM
I186255,C174457,Female,41,Clothing,1,300.08,Credit Card,11-08-2022,Kanyon
I177664,C240916,Female,58,Cosmetics,3,121.98,Credit Card,16-06-2022,Kanyon
I278519,C155781,Male,69,Technology,3,3150,Debit Card,24-09-2022,Cevahir AVM
I160636,C134562,Female,53,Cosmetics,4,162.64,Cash,04-04-2022,Metropol AVM
I306136,C144808,Male,26,Food & Beverage,1,5.23,Cash,18-10-2022,Metrocity
I258204,C204658,Female,54,Clothing,1,300.08,Credit Card,02-03-2023,Emaar Square Mall
I231070,C163096,Female,54,Clothing,5,1500.4,Debit Card,15-11-2022,Forum Istanbul
I183840,C990641,Female,18,Clothing,1,300.08,Credit Card,03-08-2022,Viaport Outlet
I533184,C143781,Female,44,Shoes,5,3000.85,Credit Card,22-09-2022,Zorlu Center
I735039,C270816,Male,50,Clothing,1,300.08,Cash,08-01-2022,Metropol AVM
I275695,C223480,Female,65,Books,5,75.75,Cash,08-09-2022,Mall of Istanbul
I264491,C954778,Female,63,Cosmetics,5,203.3,Credit Card,13-02-2023,Metropol AVM
I527111,C850240,Female,21,Food & Beverage,2,10.46,Debit Card,10-05-2022,Metropol AVM
I151031,C222504,Female,49,Souvenir,5,58.65,Cash,21-11-2022,Mall of Istanbul
I638444,C190362,Male,57,Shoes,2,1200.34,Credit Card,21-02-2022,Metropol AVM
I884439,C789677,Female,54,Toys,4,143.36,Credit Card,22-08-2022,Kanyon
I381853,C194306,Female,41,Cosmetics,3,121.98,Credit Card,12-06-2022,Emaar Square Mall
I941223,C184417,Female,53,Clothing,5,1500.4,Credit Card,02-03-2023,Emaar Square Mall
I323436,C326970,Male,39,Food & Beverage,5,26.15,Debit Card,05-06-2022,Kanyon
I245250,C137153,Female,21,Shoes,1,600.17,Cash,02-05-2022,Mall of Istanbul
I589196,C236169,Female,51,Toys,1,35.84,Credit Card,12-01-2022,Mall of Istanbul
I846943,C631970,Female,50,Cosmetics,4,162.64,Cash,01-06-2023,Mall of Istanbul
I571614,C254013,Female,31,Souvenir,4,46.92,Debit Card,01-07-2022,Istinye Park
I269945,C155309,Male,64,Food & Beverage,1,5.23,Credit Card,14-02-2022,Kanyon
I293115,C944648,Male,50,Clothing,2,600.16,Credit Card,20-05-2022,Viaport Outlet
I946433,C291816,Female,29,Technology,4,4200,Debit Card,02-02-2023,Kanyon
I721903,C165147,Male,29,Food & Beverage,2,10.46,Cash,01-09-2023,Mall of Istanbul
I423124,C156861,Female,66,Clothing,1,300.08,Cash,01-07-2023,Metrocity
I318626,C262302,Male,54,Cosmetics,3,121.98,Credit Card,23-09-2022,Istinye Park
I284431,C258947,Male,44,Technology,4,4200,Credit Card,24-06-2022,Metropol AVM
I307376,C199941,Female,22,Food & Beverage,5,26.15,Credit Card,08-11-2022,Metrocity
I194798,C649828,Male,41,Technology,2,2100,Cash,07-07-2022,Mall of Istanbul
I236520,C224474,Male,42,Toys,3,107.52,Credit Card,13-02-2022,Viaport Outlet
I295482,C181607,Male,24,Shoes,3,1800.51,Credit Card,17-10-2022,Zorlu Center
I472275,C432705,Female,43,Cosmetics,4,162.64,Cash,14-11-2022,Metrocity
I206026,C294341,Female,27,Books,1,15.15,Cash,11-12-2022,Forum Istanbul
I166306,C115590,Female,56,Clothing,3,900.24,Cash,24-04-2022,Viaport Outlet
I207389,C173469,Male,25,Clothing,3,900.24,Debit Card,17-12-2022,Kanyon
I237018,C204117,Male,30,Food & Beverage,4,20.92,Cash,19-11-2022,Mall of Istanbul
I246114,C231932,Female,49,Toys,5,179.2,Credit Card,22-09-2022,Metropol AVM
I216889,C757799,Male,57,Clothing,2,600.16,Credit Card,16-03-2022,Mall of Istanbul
I950429,C781845,Female,42,Cosmetics,2,81.32,Debit Card,03-09-2022,Kanyon
I499170,C319412,Female,38,Toys,1,35.84,Credit Card,20-02-2022,Kanyon
I508173,C582623,Male,31,Cosmetics,3,121.98,Debit Card,23-01-2022,Metropol AVM
I149766,C290275,Female,48,Cosmetics,3,121.98,Cash,04-02-2022,Mall of Istanbul
I702817,C318606,Male,30,Books,5,75.75,Credit Card,16-10-2022,Kanyon
I208491,C143343,Male,56,Clothing,1,300.08,Cash,18-01-2023,Kanyon
I337030,C242822,Male,65,Food & Beverage,2,10.46,Cash,27-09-2022,Metrocity
I312041,C190362,Female,53,Clothing,2,600.16,Credit Card,31-01-2022,Mall of Istanbul
I150629,C238847,Female,43,Clothing,3,900.24,Cash,12-10-2022,Kanyon
I197620,C229001,Male,26,Food & Beverage,2,10.46,Cash,04-08-2022,Metrocity
I730771,C127819,Male,23,Clothing,5,1500.4,Debit Card,08-05-2022,Metrocity
I873382,C111257,Female,54,Shoes,4,2400.68,Credit Card,01-07-2023,Metrocity
I153278,C439387,Female,37,Toys,2,71.68,Cash,06-04-2022,Mall of Istanbul
I722730,C109884,Female,58,Souvenir,2,23.46,Cash,28-07-2022,Kanyon
I299533,C183066,Female,40,Food & Beverage,3,15.69,Credit Card,09-09-2022,Kanyon
I187160,C130940,Female,38,Shoes,5,3000.85,Debit Card,19-03-2022,Kanyon
I101832,C297192,Female,40,Cosmetics,3,121.98,Credit Card,25-12-2022,Kanyon
I943403,C126315,Male,64,Toys,1,35.84,Cash,20-09-2022,Mall of Istanbul
I454983,C165065,Male,28,Souvenir,5,58.65,Debit Card,04-12-2022,Mall of Istanbul
I328822,C132400,Male,51,Food & Beverage,3,15.69,Cash,13-06-2022,Metrocity
I108543,C289704,Female,67,Clothing,5,1500.4,Debit Card,07-08-2022,Viaport Outlet
I120615,C317817,Female,22,Toys,2,71.68,Credit Card,02-02-2022,Istinye Park
I248840,C193717,Female,26,Clothing,3,900.24,Cash,11-10-2022,Mall of Istanbul
I283774,C328647,Female,42,Toys,1,35.84,Debit Card,01-01-2023,Istinye Park
I130124,C185599,Male,49,Clothing,3,900.24,Credit Card,15-08-2022,Viaport Outlet
I154490,C124768,Male,33,Clothing,5,1500.4,Cash,24-01-2022,Mall of Istanbul
I159376,C207871,Female,65,Food & Beverage,2,10.46,Cash,14-06-2022,Metropol AVM
I101148,C163096,Female,26,Cosmetics,4,162.64,Cash,21-04-2022,Cevahir AVM
I291062,C190362,Female,56,Cosmetics,4,162.64,Credit Card,03-05-2023,Kanyon
I146305,C850240,Female,36,Food & Beverage,2,10.46,Cash,07-11-2022,Kanyon
I648743,C189683,Female,61,Shoes,5,3000.85,Debit Card,01-02-2023,Mall of Istanbul
I214007,C302660,Male,38,Toys,4,143.36,Credit Card,25-03-2022,Metrocity
I126095,C807243,Male,23,Food & Beverage,5,26.15,Credit Card,24-03-2022,Metropol AVM
I265860,C271151,Male,60,Food & Beverage,4,20.92,Credit Card,15-03-2022,Mall of Istanbul
I512570,C481959,Female,59,Souvenir,4,46.92,Cash,24-11-2022,Metrocity
I118757,C238897,Male,43,Clothing,1,300.08,Credit Card,21-07-2022,Kanyon
I223795,C300282,Male,40,Clothing,3,900.24,Cash,26-12-2022,Metrocity
I254341,C442944,Female,43,Food & Beverage,2,10.46,Credit Card,21-01-2023,Metropol AVM
I893043,C202954,Female,63,Clothing,5,1500.4,Credit Card,11-11-2022,Kanyon
I295712,C281211,Male,31,Food & Beverage,2,10.46,Cash,25-06-2022,Mall of Istanbul
I162565,C245442,Female,69,Clothing,2,600.16,Credit Card,07-04-2022,Istinye Park
I300520,C120935,Female,36,Books,3,45.45,Credit Card,02-02-2023,Metrocity
I936118,C264437,Male,22,Food & Beverage,3,15.69,Cash,19-02-2023,Istinye Park
I242648,C827434,Male,39,Food & Beverage,1,5.23,Cash,22-06-2022,Metrocity
I725938,C237330,Male,26,Cosmetics,3,121.98,Debit Card,16-10-2022,Metropol AVM
I299480,C199762,Male,44,Shoes,2,1200.34,Credit Card,12-09-2022,Metrocity
I134272,C186209,Female,35,Toys,1,35.84,Debit Card,12-01-2022,Metropol AVM
I293208,C286431,Male,61,Shoes,1,600.17,Cash,02-07-2022,Mall of Istanbul
I251779,C170853,Male,55,Toys,5,179.2,Debit Card,03-12-2022,Zorlu Center
I334155,C229001,Female,22,Books,3,45.45,Debit Card,15-12-2022,Viaport Outlet
I292746,C128277,Female,54,Clothing,5,1500.4,Credit Card,27-04-2022,Viaport Outlet
I230701,C117351,Male,34,Clothing,2,600.16,Credit Card,19-02-2023,Emaar Square Mall
